Point ID,Easting (X)(m),Northing (Y)(m),Height (Z)(m),Accuracy (m)
T1,988.014,1021.547,102.042,0.002
T2,986.726,1021.905,106.079,0.002
T3,986.697,1021.805,108.691,0.002
T4,988.000,1021.596,112.058,0.002
T5,994.309,1020.190,102.024,0.002
T6,995.671,1019.992,106.034,0.002
T7,995.658,1019.906,108.672,0.002
T8,994.419,1020.267,112.016,0.002
N1,986.749,1022.086,103.486,0.002
N2,986.420,1022.126,107.511,0.002
N3,986.441,1022.146,109.945,0.002
N4,995.678,1020.170,103.473,0.002
N5,996.043,1020.076,107.483,0.002
N6,996.063,1020.107,109.938,0.002
N8,983.927,1021.536,109.972,0.002
N9,984.204,1022.334,117.000,0.002
N11,998.050,1018.520,109.923,0.002
N12,998.221,1019.394,116.966,0.002
