Point ID,T_obs (¡C),T_2D (¡C),T_3D (¡C)
T1_TL,25.3,,
T1_BR,26.4,,
T1_TR,22.2,,
T2_TL,20.4,,
T2_BR,20.2,,
T2_TR,19.1,,
T3_TL,18.1,,
T3_BR,17.8,,
T3_TR,20.0,,
T4_TL,17.0,,
T4_BR,16.6,,
T4_TR,18.0,,
T5_TL,18.5,,
T5_BR,20.7,,
T5_TR,15.8,,
T6_TL,21.9,,
T6_BR,23.8,,
T6_TR,22.5,,
T7_TL,34.6,,
T7_BR,31.9,,
T7_TR,32.2,,
T8_TL,31.0,,
T8_BR,31.7,,
T8_TR,26.8,,
Ti2_TL,20.1,,
Ti2_BR,22.4,,
Ti2_TR,23.2,,
Ti3_TL,20.0,,
Ti3_BR,20.3,,
Ti2_TR,24.7,,
Ti12_TL,24.5,,
Ti12_BR,22.3,,
Ti12_TR,22.7,,
